omega_pe_t,relative_error_R3,relative_error_R5,relative_error_R7,relative_error_R9
4.676674793986948409e+00,1.420251058519097770e-05,5.139440460124840238e-11,6.528861059474230994e-12,3.454707647850729693e-11
4.726426653497447283e+00,1.436421975102061150e-05,5.204826887101015296e-11,6.613612449588274009e-12,3.479585054788033930e-11
4.776178513007947934e+00,1.451948894387639353e-05,5.268082717475279839e-11,6.695636316994389150e-12,3.502962810416293119e-11
4.825930372518446809e+00,1.466855473574564169e-05,5.329202903317566103e-11,6.775073325845229982e-12,3.525028927806231393e-11
4.875682232028946572e+00,1.481179848349939189e-05,5.388178282332222232e-11,6.851751359278801316e-12,3.546102263019278562e-11
4.925434091539445447e+00,1.494973143586638340e-05,5.444976460021730601e-11,6.925286837539695845e-12,3.566581265639706204e-11
4.975185951049945210e+00,1.508297896688267227e-05,5.499657153730451988e-11,6.996500746457727016e-12,3.587026514992097923e-11
5.024937810560444973e+00,1.521226474493973057e-05,5.552188959289641644e-11,7.064635089831294726e-12,3.608027513686567590e-11
5.074689670070944736e+00,1.533839555703023341e-05,5.602646281773316215e-11,7.130132497307117819e-12,3.630281288515827807e-11
5.124441529581443611e+00,1.546224737018925559e-05,5.651025583562660393e-11,7.192878831493551249e-12,3.654603346013015330e-11
5.174193389091943374e+00,1.558475309041066544e-05,5.697353164878592466e-11,7.252778033805526029e-12,3.681787090521783332e-11
5.223945248602442248e+00,1.570689231788389444e-05,5.741656388695187620e-11,7.309639174189892377e-12,3.712735356223405715e-11
5.273697108112942011e+00,1.582968324725511291e-05,5.784005538849934968e-11,7.364154323599829551e-12,3.748403824484282543e-11
5.323448967623441774e+00,1.595417669984458919e-05,5.824421473817022731e-11,7.416069490916327047e-12,3.789663311620720624e-11
5.373200827133940649e+00,1.608145212482660555e-05,5.862909285898945657e-11,7.465189212006314508e-12,3.837354434942224481e-11
5.422952686644440412e+00,1.621261525665427183e-05,5.899521302832482171e-11,7.511441183004406282e-12,3.892367196563495576e-11
5.472704546154939287e+00,1.634879698007823590e-05,5.934360743895787427e-11,7.555287318145140007e-12,3.955531631649940757e-11
5.522456405665439938e+00,1.649115283631017519e-05,5.967443125451757232e-11,7.596320957422175952e-12,4.027457142750307936e-11
5.572208265175938813e+00,1.664086251261908935e-05,5.998910151012669986e-11,7.635248112995274721e-12,4.108824308489782831e-11
5.621960124686438576e+00,1.679912857310463653e-05,6.028900602455069545e-11,7.671681787394871831e-12,4.200060144803490988e-11
5.671711984196937451e+00,1.696717366282047795e-05,6.057563953695252871e-11,7.705627762133726277e-12,4.301515599312059650e-11
5.721463843707436325e+00,1.714623541034799900e-05,6.085130840729054477e-11,7.737873027241366792e-12,4.413393856765663630e-11
5.771215703217936976e+00,1.733755830328129866e-05,6.111907479380032043e-11,7.768419819262915218e-12,4.535726699088141108e-11
5.820967562728435851e+00,1.754238192163584976e-05,6.138188250091387625e-11,7.797786515244332881e-12,4.668365999074687355e-11
5.870719422238935614e+00,1.776192508076960446e-05,6.164377632929513654e-11,7.825860245575005472e-12,4.810985518956046651e-11
